"(251, 179)","(358, 177)"
"(358, 177)","(428, 214)"
"(428, 214)","(517, 263)"
"(517, 263)","(556, 260)"
"(556, 260)","(601, 229)"
"(601, 229)","(608, 186)"
"(608, 186)","(584, 145)"
"(584, 145)","(547, 130)"
"(547, 130)","(512, 138)"
"(512, 138)","(232, 138)"
"(232, 138)","(194, 160)"
"(194, 160)","(140, 233)"
"(140, 233)","(125, 295)"
"(125, 295)","(140, 348)"
"(140, 348)","(185, 372)"
"(185, 372)","(274, 380)"
"(274, 380)","(341, 402)"
"(341, 402)","(387, 427)"
"(387, 427)","(406, 454)"
"(406, 454)","(407, 485)"
"(407, 485)","(395, 510)"
"(395, 510)","(352, 516)"
"(352, 516)","(232, 466)"
"(232, 466)","(201, 474)"
"(201, 474)","(192, 498)"
"(192, 498)","(201, 527)"
"(201, 527)","(237, 542)"
"(237, 542)","(345, 526)"
"(345, 526)","(395, 540)"
"(395, 540)","(539, 622)"
"(539, 622)","(582, 622)"
"(582, 622)","(632, 588)"
"(632, 588)","(648, 541)"
"(648, 541)","(634, 496)"
"(634, 496)","(595, 474)"
"(595, 474)","(518, 473)"
"(518, 473)","(441, 423)"
"(441, 423)","(286, 351)"
"(286, 351)","(223, 335)"
"(223, 335)","(186, 298)"
"(186, 298)","(174, 250)"
"(174, 250)","(200, 198)"
"(200, 198)","(252, 179)"
"(258, 212)","(224, 234)"
"(224, 234)","(222, 274)"
"(222, 274)","(246, 300)"
"(246, 300)","(381, 354)"
"(381, 354)","(466, 402)"
"(466, 402)","(522, 436)"
"(522, 436)","(618, 440)"
"(618, 440)","(661, 462)"
"(661, 462)","(695, 511)"
"(695, 511)","(694, 565)"
"(694, 565)","(664, 626)"
"(664, 626)","(617, 659)"
"(617, 659)","(569, 672)"
"(569, 672)","(519, 663)"
"(519, 663)","(350, 568)"
"(350, 568)","(250, 580)"
"(250, 580)","(206, 580)"
"(206, 580)","(170, 557)"
"(170, 557)","(150, 517)"
"(150, 517)","(151, 469)"
"(151, 469)","(198, 430)"
"(198, 430)","(242, 430)"
"(242, 430)","(361, 486)"
"(361, 486)","(378, 474)"
"(378, 474)","(370, 451)"
"(370, 451)","(326, 426)"
"(326, 426)","(256, 406)"
"(256, 406)","(182, 405)"
"(182, 405)","(134, 386)"
"(134, 386)","(98, 349)"
"(98, 349)","(86, 283)"
"(86, 283)","(106, 210)"
"(106, 210)","(150, 154)"
"(150, 154)","(216, 108)"
"(216, 108)","(306, 105)"
"(306, 106)","(514, 105)"
"(514, 105)","(550, 98)"
"(550, 98)","(602, 114)"
"(602, 114)","(640, 159)"
"(640, 159)","(651, 202)"
"(651, 202)","(637, 254)"
"(637, 254)","(604, 285)"
"(604, 285)","(551, 302)"
"(551, 302)","(497, 292)"
"(497, 292)","(362, 214)"
"(362, 214)","(257, 212)"
